id,context,question,option_a,option_b,option_c,option_d,correct_answer
1,"Procesorul este componenta principala a unui calculator, responsabila cu executarea instructiunilor programului.",Care este rolul procesorului intr-un calculator?,A gestiona conexiunile la internet,A executa instructiunile programului,A stoca datele pe hard disk,A afisa imaginile pe ecran,B
2,"Ion Creanga este considerat unul dintre cei mai importanti prozatori romani, cunoscut pentru opera 'Amintiri din copilarie'.",Cine a scris 'Amintiri din copilarie'?,George Cosbuc,Tudor Arghezi,Mihai Eminescu,Ion Creanga,D
3,"O structura de date de tip stiva respecta principiul LIFO — Last In, First Out.",Ce principiu urmeaza o stiva?,Selectie dupa prioritate,"Primul intrat, primul iesit","Ultimul intrat, primul iesit",Ordine aleatoare,C
4,Algoritmul de sortare prin insertie compara fiecare element cu cele deja sortate si il plaseaza in pozitia corecta.,Cum functioneaza algoritmul de sortare prin insertie?,Cauta elementul cel mai mic si il pune primul,Sorteaza elementele in ordine inversa,Compara fiecare element cu cele deja sortate si il insereaza corect,Grupeaza elementele in perechi si le compara,C
5,"Fotosinteza este procesul prin care plantele produc substante organice folosind dioxid de carbon, apa si lumina solara.",Ce este fotosinteza?,Procesul prin care plantele absorb minerale,Procesul prin care plantele respira,Procesul prin care plantele produc substante organice cu ajutorul luminii,Procesul prin care plantele pierd apa,C
6,Mitocondria este organitul celular responsabil de producerea energiei in celula.,Care este functia principala a mitocondriei?,Producerea energiei celulare,Sinteza proteinelor,Controlul diviziunii celulare,Depozitarea energiei,A
7,ADN-ul contine informatia genetica necesara pentru dezvoltarea si functionarea organismelor vii.,Ce rol are ADN-ul in celula?,Stocheaza informatia genetica,Produce proteine,Depoziteaza energia chimica,Controleaza miscarea moleculelor,A
8,Revolutia franceza a avut loc intre anii 1789 si 1799 si a dus la abolirea monarhiei absolute.,Ce consecinta majora a avut Revolutia franceza?,A instaurat monarhia constitutionala,A intarit monarhia,A abolit monarhia absoluta,A restabilit feudalismul,C
9,"Mihai Viteazul este cunoscut pentru prima unire a Tarii Romanesti, Moldovei si Transilvaniei in anul 1600.",Ce fapt istoric este asociat cu Mihai Viteazul?,"Prima unire a Tarii Romanesti, Moldovei si Transilvaniei",Independenta Romaniei,Mica Unire din 1859,Razboiul de Independenta,A
10,"Primul Razboi Mondial a izbucnit in 1914 si s-a incheiat in 1918, ca urmare a tensiunilor dintre marile puteri europene.",Cand a avut loc Primul Razboi Mondial?,1900–1910,1912–1914,1918–1922,1914–1918,D
11,Inflatia reprezinta cresterea generalizata si sustinuta a preturilor bunurilor si serviciilor intr-o economie.,Ce este inflatia?,Cresterea salariilor in sectorul public,Scaderea preturilor pe termen lung,Cresterea generalizata a preturilor,Stabilitatea valorii banilor,C
12,Cererea este cantitatea de bunuri sau servicii pe care consumatorii sunt dispusi sa le cumpere la un anumit pret.,Ce reprezinta cererea pe piata?,Profitul obtinut de vanzatori,Cantitatea de bunuri dorita de consumatori la un anumit pret,Diferenta dintre costuri si venituri,Cantitatea de produse oferita de firme,B
13,PIB-ul (Produsul Intern Brut) masoara valoarea totala a bunurilor si serviciilor finale produse intr-o tara intr-un an.,Ce indica PIB-ul?,Valoarea totala a bunurilor si serviciilor finale,Rata inflatiei anuale,Nivelul datoriilor publice,Suma exporturilor nete,A
14,Energia cinetica este energia asociata miscarii unui corp si depinde de masa si de viteza acestuia.,De ce factori depinde energia cinetica a unui corp?,Doar de viteza corpului,De temperatura,Doar de masa,De masa si de viteza,D
15,"Forta gravitationala este forta de atractie dintre doua corpuri, proportionala cu masele lor si invers proportionala cu patratul distantei dintre ele.",Ce este forta gravitationala?,Forta care respinge corpurile intre ele,Forta care mentine corpurile in echilibru,Forta de atractie dintre doua corpuri,Energia unui corp in miscare,C
16,"Arhitectura von Neumann definește structura de bază a unui calculator, incluzând memoria, unitatea de calcul, unitatea de control și dispozitivele de intrare/ieșire.",Care sunt componentele principale ale arhitecturii von Neumann?,"Procesorul grafic, tastatura, hard disk-ul","Memoria, unitatea de calcul, unitatea de control și dispozitivele I/O","Monitorul, placa de sunet și imprimanta",Doar memoria și procesorul,B
17,Unitatea de control coordonează prelucrarea informației numerice și gestionează fluxul instrucțiunilor dintr-un program.,Ce rol are unitatea de control într-un calculator?,Asigură conectarea la rețea,Execută operații logice și aritmetice,Controlează ordinea de execuție a instrucțiunilor,Stochează informația binară,C
18,"Unitatea de calcul efectuează operațiile propriu-zise asupra datelor, de tip logic sau aritmetic.",Ce tip de operații realizează unitatea de calcul?,Operații logice și aritmetice,Operații grafice și audio,Operații de salvare pe disc,Operații de rețea,A
19,"Memoria primară a unui calculator stochează atât datele, cât și instrucțiunile necesare execuției programelor.",Ce se stochează în memoria primară a unui calculator?,Doar datele utilizatorului,Doar rezultatele finale ale calculelor,Datele și instrucțiunile programelor,Doar fișierele audio și video,C
20,"Un calculator numeric este un dispozitiv electronic capabil să prelucreze, să stocheze și să transmită informații numerice.",Ce reprezintă un calculator numeric?,Un dispozitiv mecanic de scris,Un dispozitiv electronic care prelucrează informații numerice,Un aparat de măsură,Un software de birou,B
21,Limbajul de programare C a fost dezvoltat între anii 1971-1973 de Dennis Ritchie în laboratoarele Bell ca o extindere a limbajului B.,Cine a dezvoltat limbajul C și când?,"Alan Turing, 1949","Bjarne Stroustrup, 1985","James Gosling, 1995","Dennis Ritchie, între 1971-1973",D
22,"Standardul C89/C90 reprezintă prima versiune oficială standardizată a limbajului C, aprobată de ANSI în 1989.",Care a fost primul standard oficial al limbajului C?,C++98,C11,C99,C89/C90,D
23,"C este un limbaj de nivel mediu, ceea ce înseamnă că oferă un echilibru între ușurința de programare și performanța de execuție.",Ce înseamnă că limbajul C este de nivel mediu?,Are o sintaxă foarte simplă,Este un limbaj de asamblare,Combină avantajele limbajelor de nivel înalt cu performanța celor de nivel jos,Este un limbaj destinat exclusiv sistemelor de operare,C
24,"C a fost folosit pentru dezvoltarea sistemelor de operare, a driverelor și a aplicațiilor încorporate datorită vitezei și controlului asupra resurselor hardware.",În ce domenii este folosit predominant limbajul C?,Editare grafică și jocuri video,Procesare de imagini și inteligență artificială,"Sisteme de operare, drivere și aplicații încorporate",Pagini web și aplicații mobile,C
25,Procesorul controlează execuția instrucțiunilor și efectuează operațiile logice și aritmetice prin intermediul registrelor sale interne.,Cum contribuie procesorul la funcționarea calculatorului?,Doar afișează rezultatele pe ecran,Gestionează doar memoria RAM,Controlează execuția instrucțiunilor și efectuează calcule logice și aritmetice,Rulează aplicații grafice,C
26,"Unitatea centrală de prelucrare (CPU) conține unitatea de control, unitatea de calcul și mai mulți regiștri de uz general, stare și segment.",Ce componente conține CPU-ul?,Sistemul de operare și aplicațiile utilizatorului,Memoria RAM și placa video,"Unitatea de control, unitatea de calcul și regiștrii",Doar unitatea de control,C
27,"Memoria este organizată în locații identificate prin adrese, fiecare locație stocând o cantitate fixă de informație binară.",Cum este organizată memoria unui calculator?,În blocuri grafice de date,În registre temporare ale procesorului,În locații identificate prin adrese unice,În directoare logice,C
28,"Un bit este cea mai mică unitate de informație, având două valori posibile: 0 sau 1.",Ce reprezintă un bit?,"Cea mai mică unitate de informație, cu valori 0 sau 1",O instrucțiune a procesorului,O valoare numerică între 0 și 255,O adresă de memorie,A
29,"Un octet (sau byte) este o secvență de 8 biți, reprezentând adesea dimensiunea unui cuvânt de memorie.",Ce este un octet?,O secvență de 8 biți,Un tip de procesor,O instrucțiune în limbajul C,Un algoritm de codificare,A
30,"Dispozitivele de intrare/ieșire (I/O) asigură comunicarea calculatorului cu mediul extern, prin introducerea și extragerea informațiilor.",Care este rolul dispozitivelor de intrare/ieșire?,Permit introducerea și extragerea informațiilor din calculator,Conectează calculatorul la internet,Asigură protecția datelor,Gestionează memoria internă,A
31,"Programul este o secvență de instrucțiuni mașină, care trebuie încărcate în memoria primară pentru a fi executate.",Ce reprezintă un program din punct de vedere al execuției?,Un set de fișiere text,Un cod sursă necompilat,O aplicație grafică instalată pe calculator,O secvență de instrucțiuni mașină încărcate în memorie,D
32,"Ciclul instrucțiunii este procesul prin care procesorul recuperează, decodifică și execută instrucțiunile din memorie.",Care sunt etapele ciclului instrucțiunii?,"Compilare, rulare, afișare","Fetch, decode, execute","Transmitere, recepție, conversie","Citire, scriere, salvare",B
33,"Sistemele de numeratie definesc modurile de reprezentare a numerelor utilizând baze diferite, precum 2, 8, 10 sau 16.",Ce reprezintă un sistem de numeratie?,Un model de arhitectură hardware,Un tip de algoritm,O metodă de stocare a datelor,Un set de reguli pentru reprezentarea numerelor într-o bază dată,D
34,Un algoritm este o secvență de pași logici care descriu modul de rezolvare a unei probleme.,Ce este un algoritm?,Un set de pași logici pentru rezolvarea unei probleme,O limbă de programare,Un dispozitiv hardware,O metodă de stocare a datelor,A
35,Reprezentarea informației numerice în calculator se face folosind semnale discrete care pot lua un număr finit de valori.,Cum este reprezentată informația numerică într-un calculator?,Prin semnale discrete cu valori numerice limitate,Prin text simplu,Prin semnale analogice continue,Prin imagini grafice,A
36,"Limbajul C a fost dezvoltat în cadrul laboratoarelor Bell, de către Ken Thompson și Dennis Ritchie, ca o extindere a limbajului B.",Cine a dezvoltat limbajul de programare C și în ce context?,"Ken Thompson și Dennis Ritchie, la laboratoarele Bell","Linus Torvalds, pentru sistemul Linux","James Gosling, în cadrul Sun Microsystems","Bill Gates, la Microsoft",A
37,"Limbajul B, predecesorul limbajului C, a fost influențat de BCPL, un limbaj de programare a sistemelor dezvoltat în anii 1960.","Ce limbaj a influențat dezvoltarea limbajului B, precursorul lui C?",Pascal,Java,Fortran,BCPL,D
38,"Primul standard oficial al limbajului C, cunoscut ca ANSI C sau C89, a fost aprobat în decembrie 1989.",În ce an a fost aprobat primul standard oficial al limbajului C?,1999,1989,2011,1978,B
39,"Standardul C99 a adus modificări importante limbajului C, inclusiv suport pentru comentarii în stil C++ și noi tipuri de date.",Ce îmbunătățiri majore a introdus standardul C99?,Comentarii în stil C++ și noi tipuri de date,O nouă sintaxă pentru clase,Un compilator grafic integrat,Suport pentru orientare pe obiecte,A
40,"C este apreciat pentru simplitatea și performanța sa, fiind considerat un limbaj de bază pentru învățarea programării.",De ce este apreciat limbajul C?,Pentru că este un limbaj de asamblare,"Pentru simplitate, putere și performanță",Pentru interfața sa vizuală,Pentru ușurința de utilizare în grafică 3D,B
41,"Limbajul C stă la baza unei game largi de alte limbaje moderne, precum C++, Java, C#, Swift sau Python.",Ce limbaje moderne au fost influențate de C?,"HTML, CSS, JavaScript","Rust, Kotlin, COBOL","Ruby, PHP, SQL","Java, C++, C#, Swift, Python",D
42,C este considerat un limbaj de nivel mediu deoarece combină controlul hardware al limbajelor de nivel jos cu ușurința de utilizare a celor de nivel înalt.,De ce este considerat C un limbaj de nivel mediu?,Pentru că este ușor de compilat,Pentru că oferă un echilibru între controlul hardware și ușurința programării,Pentru că este folosit doar în microcontrolere,Pentru că este bazat pe Java,B
43,"C a fost folosit pentru dezvoltarea sistemelor de operare populare precum Unix, Linux și Windows.",Pentru ce tipuri de aplicații a fost folosit limbajul C?,Pentru aplicații web și mobile,Pentru procesarea imaginilor,Pentru sistemele de operare și drivere,Pentru grafica 3D și animație,C
44,Un algoritm este o succesiune de pași logici care rezolvă o problemă specifică într-un număr finit de etape.,Ce reprezintă un algoritm în informatică?,Un proces de stocare a datelor,O secvență logică de pași pentru rezolvarea unei probleme,O listă de fișiere de cod,Un program scris într-un limbaj de asamblare,B
45,Calitatea unui algoritm poate fi evaluată în funcție de dimensiunea problemei și timpul de rezolvare.,Cum se poate evalua calitatea unui algoritm?,Prin dimensiunea problemei și timpul de rezolvare,Prin aspectul interfeței grafice,Prin numărul de funcții folosite,Prin numărul de linii de cod,A
46,"Un program reprezintă implementarea unui algoritm într-un limbaj de programare, sub forma unui set de instrucțiuni executabile.",Care este relația dintre algoritm și program?,Un program este traducerea unui algoritm într-un limbaj de programare,Programul este doar o parte din algoritm,Un algoritm este un program neexecutabil,Sunt concepte identice,A
47,Simularea unui algoritm presupune urmărirea pas cu pas a execuției acestuia pentru a verifica corectitudinea rezultatelor.,Ce presupune simularea unui algoritm?,Testarea vizuală a unei interfețe grafice,Traducerea codului într-un alt limbaj,Verificarea pas cu pas a execuției algoritmului,Executarea codului în limbaj de asamblare,C
48,"Reprezentarea informației numerice se bazează pe sisteme de numerație, cum ar fi baza 2 (binar), 8 (octal), 10 (zecimal) și 16 (hexazecimal).",Care sunt cele mai utilizate baze de numerație în informatică?,"2, 8, 10 și 16","3, 5, 7 și 9","1, 2, 3 și 10","4, 6, 8 și 12",A
49,"Codificarea informației numerice permite reprezentarea datelor sub formă de biți, folosind standarde precum ASCII sau Unicode.",Ce rol are codificarea informației numerice?,Optimizează viteza de procesare a datelor grafice,Îmbunătățește calitatea imaginilor,Reduce dimensiunea fișierelor audio,Permite reprezentarea datelor în format binar standardizat,D
50,Unitatea de control a prelucrării din CPU gestionează fluxul instrucțiunilor și semnalele de comandă necesare execuției.,Ce funcție are unitatea de control a prelucrării?,Controlează fluxul și ordinea execuției instrucțiunilor,Gestionează interfața cu utilizatorul,Salvează datele temporare,Execută calcule matematice complexe,A
51,"Regiștrii procesorului pot fi de mai multe tipuri: de uz general, de stare, de segment sau de adresare.",Care este rolul registrelor procesorului?,Depozitează fișiere permanente,Traduc codul sursă în cod mașină,Controlează dispozitivele periferice,Stochează temporar date și adrese în timpul execuției programelor,D
52,Memoria RAM este considerată memorie primară și este utilizată pentru stocarea temporară a datelor și instrucțiunilor programelor în execuție.,Ce rol are memoria RAM într-un calculator?,Stochează datele permanent,Gestionează fișierele de sistem,Stochează temporar datele și instrucțiunile programelor în execuție,Asigură comunicarea între periferice,C
53,"Dispozitivele de I/O pot fi de intrare, ieșire sau combinate, permițând interacțiunea utilizatorului cu sistemul.",Care dintre următoarele este un exemplu de dispozitiv de intrare/ieșire?,Joystick,Imprimantă,Tastatură,Monitor,A
